"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000034165","0.182692354975915","0.163546027322013","0.144399699668111","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497","Ccnd3","0.125867462481157","0.0364008050654731","0.143678910493799","Regulated","false","Ccnd3"
"ENSMUSG00000030102","0.177362662525926","0.075216540694202","-0.0269295811375221","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460|yetfasco-2168","Itpr1","0.478790031697376","0.643194620794167","0.896464719792252","Regulated","false","Itpr1"
"ENSMUSG00000016024","0.40353399984892","0.726604915515956","1.04967583118299","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Lbp","0.501757983291123","0.0657585386480899","0.0379198503170277","Regulated","false","Lbp"
"ENSMUSG00000042010","0.00987397169691251","0.16716880336709","0.324463635037266","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Acacb","0.963722098897774","0.238305292126957","0.0749472857837154","Regulated","false","Acacb"
"ENSMUSG00000027878","0.0523089670269403","0.182754322799556","0.313199678572172","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460|yetfasco-2168","Notch2","0.836557021231996","0.269270330432402","0.139359807046855","Regulated","false","Notch2"
"ENSMUSG00000054920","0.0987984207878823","0.0938263155868251","0.0888542103857679","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Klhl5","0.47318471395399","0.295208622313185","0.436132864166336","Regulated","false","Klhl5"
"ENSMUSG00000048583","0.706945183650398","0.711212576082513","0.715479968514627","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497","Igf2","0.236916735707397","0.0690510006568665","0.149482014902128","Regulated","false","Igf2"
"ENSMUSG00000024036","0.555128705133675","0.542181395367226","0.529234085600776","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Slc37a1","0.0447461835728609","0.00308852802386073","0.0215451054809056","Regulated","false","Slc37a1"
"ENSMUSG00000005628","-0.219742224108799","0.336277755310443","0.892297734729685","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Tmod4","0.570278831303856","0.183536490368247","0.00689627458138093","Regulated","false","Tmod4"
"ENSMUSG00000033066","0.197895513607141","0.0722910474329539","-0.053313418741233","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Gas7","0.100086105942339","0.35103537515525","0.588855739741537","Regulated","false","Gas7"
"ENSMUSG00000031289","0.447368954263208","0.595186882608977","0.743004810954745","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Il13ra2","0.386377152648114","0.0788082456067998","0.0852406980793536","Regulated","false","Il13ra2"
"ENSMUSG00000031392","0.155834889133875","0.0586649424015064","-0.0385050043308626","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Irak1","0.148450449258359","0.39929506489965","0.663806450502969","Regulated","false","Irak1"
"ENSMUSG00000022246","-0.0497356083271954","0.193733511168332","0.437202630663859","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Rai14","0.83413476224443","0.211868719845591","0.0293408030275797","Regulated","false","Rai14"
"ENSMUSG00000021215","0.509907248880749","0.335499780384274","0.161092311887798","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Net1","0.0400636264394245","0.0375350025856774","0.426428655739662","Regulated","false","Net1"
"ENSMUSG00000020695","0.645522245372697","0.68704519239446","0.728568139416223","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Mrc2","0.173976785897367","0.0277593465296924","0.0656364525282878","Regulated","false","Mrc2"
