"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000034987","0.094157232","-0.072656055","-0.239469341","yetfasco-655","Hrh2","0.672335862","0.644453596","0.284048911","Regulated","false","Hrh2"
"ENSMUSG00000076432","-0.128982879","0.021971892","0.172926662","yetfasco-655","Ywhaq","0.190329802","0.75074396","0.080836863","Regulated","false","Ywhaq"
"ENSMUSG00000041119","0.105328592","-0.138433604","-0.3821958","yetfasco-655","Pde9a","0.503727445","0.216048293","0.017635258","Regulated","false","Pde9a"
"ENSMUSG00000046491","0.063212941","0.095177167","0.127141393","yetfasco-655","C1qtnf2","0.855009344","0.697350827","0.71334161","Regulated","false","C1qtnf2"
"ENSMUSG00000001496","-0.965224446","-0.930555481","-0.895886516","yetfasco-655","Nkx2-1","0.046927414","0.007535935","0.064543245","Regulated","false","Nkx2-1"
"ENSMUSG00000040430","0.131437707","-0.007900953","-0.147239614","yetfasco-655","Pitpnc1","0.351271708","0.936610648","0.296847222","Regulated","false","Pitpnc1"
"ENSMUSG00000020709","0.141295879","-0.229131188","-0.599558256","yetfasco-655","Adap2","0.557786391","0.181543489","0.015144356","Regulated","false","Adap2"
"ENSMUSG00000035095","0.067271732","0.097289291","0.127306849","yetfasco-655","Fam167a","0.808651874","0.620670455","0.646961058","Regulated","false","Fam167a"
"ENSMUSG00000061607","-6.40363E-4","-0.068791132","-0.136941901","yetfasco-655","Mdc1","0.996351339","0.488109387","0.330053905","Regulated","false","Mdc1"
"ENSMUSG00000015619","1.150839413","0.847067149","0.543294884","yetfasco-655","Gata3","0.047086001","0.039020325","0.34234399","Regulated","false","Gata3"
"ENSMUSG00000071856","-0.122919276","-0.002216853","0.11848557","yetfasco-655","Mcc","0.446780191","0.98448063","0.463266511","Regulated","false","Mcc"
"ENSMUSG00000022206","-0.207109745","0.001582061","0.210273866","yetfasco-655","Npr3","0.372073862","0.992280497","0.36486251","Regulated","false","Npr3"
"ENSMUSG00000043333","0.223173347","0.178850377","0.134527406","yetfasco-655","Rhbdl2","0.539610977","0.487128929","0.711286671","Regulated","false","Rhbdl2"
"ENSMUSG00000015243","-0.09807093","-0.061251851","-0.024432773","yetfasco-655","Abca1","0.493559964","0.545178257","0.86431131","Regulated","false","Abca1"
"ENSMUSG00000048100","0.094688778","0.110903785","0.127118793","yetfasco-655","Taf13","0.581566583","0.362398672","0.45985547","Regulated","false","Taf13"
"ENSMUSG00000030733","-0.103036338","-0.055344248","-0.007652159","yetfasco-655","Sh2b1","0.144710551","0.266102628","0.912971481","Regulated","false","Sh2b1"
"ENSMUSG00000020936","0.127100511","0.057613234","-0.011874044","yetfasco-655","Nmt1","0.121144964","0.317527147","0.883705917","Regulated","false","Nmt1"
"ENSMUSG00000070733","0.173614192","0.048343455","-0.076927282","yetfasco-655","Fryl","0.208662527","0.618554551","0.575425831","Regulated","false","Fryl"
"ENSMUSG00000038533","0.069137319","0.075536987","0.081936656","yetfasco-655","Cbfa2t2","0.399097319","0.194446762","0.318213881","Regulated","false","Cbfa2t2"
"ENSMUSG00000001054","-0.015402965","-0.089875253","-0.16434754","yetfasco-655","Rmnd5b","0.887084407","0.243978852","0.133409681","Regulated","false","Rmnd5b"
"ENSMUSG00000024002","0.11342122","0.026168059","-0.061085102","yetfasco-655","Brd4","0.147089747","0.633471233","0.431985939","Regulated","false","Brd4"
"ENSMUSG00000063439","-0.023139336","-0.012075123","-0.001010911","yetfasco-655","B9d2","0.90425177","0.929258425","0.995806627","Regulated","false","B9d2"
"ENSMUSG00000059900","0.146063465","0.163409245","0.180755026","yetfasco-655","Tmem40","0.662595988","0.490499685","0.589380025","Regulated","false","Tmem40"
"ENSMUSG00000034330","0.067034488","0.063639531","0.060244573","yetfasco-655","Plcg2","0.741396002","0.657839094","0.766767872","Regulated","false","Plcg2"
"ENSMUSG00000022961","-0.09960542","-0.082319064","-0.065032707","yetfasco-655","Son","0.249162663","0.178899901","0.450358403","Regulated","false","Son"
"ENSMUSG00000052551","0.21198386","0.181521937","0.151060014","yetfasco-655","Adarb2","0.246543806","0.161629079","0.407639457","Regulated","false","Adarb2"
"ENSMUSG00000022568","-0.010981744","0.016507306","0.043996356","yetfasco-655","Scrib","0.923913944","0.839138777","0.702164293","Regulated","false","Scrib"
"ENSMUSG00000022844","0.243244835","0.101659179","-0.039926477","yetfasco-655","Pdia5","0.447186714","0.652730241","0.900473771","Regulated","false","Pdia5"
"ENSMUSG00000031453","0.002682249","0.004576446","0.006470644","yetfasco-655","Rasa3","0.980569434","0.953138356","0.953148688","Regulated","false","Rasa3"
"ENSMUSG00000020312","-0.063131946","-0.086653761","-0.110175576","yetfasco-655","Shc2","0.601561056","0.312320115","0.363289083","Regulated","false","Shc2"
"ENSMUSG00000024232","-0.191420177","-0.124863031","-0.058305886","yetfasco-655","Bambi","0.432632126","0.468971898","0.810655428","Regulated","false","Bambi"
"ENSMUSG00000020361","0.043281785","0.129145044","0.215008302","yetfasco-655","Hspa4","0.666900988","0.072974386","0.035727111","Regulated","false","Hspa4"
"ENSMUSG00000052302","0.05200252","0.039293818","0.026585117","yetfasco-655","Tbc1d30","0.743122746","0.72620385","0.866901058","Regulated","false","Tbc1d30"
"ENSMUSG00000032217","0.020608789","-0.041523217","-0.103655223","yetfasco-655","Rnf111","0.859560281","0.614484936","0.37503729","Regulated","false","Rnf111"
"ENSMUSG00000038456","-0.083009173","-0.031935097","0.01913898","yetfasco-655","Dennd2a","0.444692224","0.67700425","0.859797663","Regulated","false","Dennd2a"
"ENSMUSG00000021996","0.007480941","0.03308145","0.05868196","yetfasco-655","Esd","0.931563173","0.591662424","0.50134161","Regulated","false","Esd"
"ENSMUSG00000020542","-0.299119315","-0.074386197","0.15034692","yetfasco-655","Myocd","0.34427487","0.738592357","0.63356882","Regulated","false","Myocd"
"ENSMUSG00000059263","-0.016211123","0.004725412","0.025661947","yetfasco-655","Usp47","0.845755856","0.936074392","0.758178236","Regulated","false","Usp47"
"ENSMUSG00000022515","0.052345034","0.010392289","-0.031560456","yetfasco-655","Anks3","0.692627923","0.911573933","0.811544778","Regulated","false","Anks3"
"ENSMUSG00000056648","0.352777309","0.187137509","0.021497708","yetfasco-655","Hoxb8","0.246043744","0.382992138","0.943324723","Regulated","false","Hoxb8"
"ENSMUSG00000028630","-0.015472717","-0.199630737","-0.383788757","yetfasco-655","Dyrk2","0.921342483","0.075443431","0.016828323","Regulated","false","Dyrk2"
"ENSMUSG00000035864","0.173241759","0.097609538","0.021977318","yetfasco-655","Syt1","0.063586144","0.137299187","0.81130751","Regulated","false","Syt1"
"ENSMUSG00000056829","-1.047584911","-1.052402574","-1.057220237","yetfasco-655","Foxb2","0.145300729","0.04029334","0.141700783","Regulated","false","Foxb2"
